"Supervisor.PI","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Hrcek","AK","AK1",0.3015873016,0.172425087252504,0.333333333,0.111111111,0.555555556,0.0771108432245865,0.571725289286863,0.333333333
"Hrcek","AK","AK11",0.1059829062,0.0187255576924149,0.102564103,0.085470085,0.136752137,0.00837432398336674,0.176684697219738,0.102564103
"Hrcek","AK","AK3",0.2298850575,0.0678063505994033,0.2413793105,0.137931034,0.310344828,0.0276818267147997,0.294957625070535,0.275862069
"Hrcek","AK","AK4",0.149019608,0.0985867066616793,0.125490196,0.062745098,0.329411765,0.0402478544570929,0.661568688743828,0.329411765
"Hrcek","AK","AK5",0.08230452675,0.0232792355713396,0.0905349795,0.049382716,0.098765432,0.0116396177856698,0.282842712188241,0.098765432
"Hrcek","AK","AK6",0.222222222,0.060338144799508,0.202898551,0.173913043,0.289855072,0.0348362441423985,0.271521651869308,0.289855072
"Hrcek","AK","AK9",0.3144278608,0.125388927094599,0.298507463,0.179104478,0.517412935,0.0560756329218578,0.398784404077844,0.31840796
"Hrcek","GI","GI10",0.0606060606666667,0.0454854564491693,0.064935065,0,0.12987013,0.0185693598363418,0.750510030660783,0.077922078
"Hrcek","GI","GI11",0.0684210526,0.0235375576255284,0.052631579,0.052631579,0.105263158,0.010526315775,0.34401045776265,0.052631579
"Hrcek","GI","GI2",0.1928571428,0.0822204603738123,0.232142857,0.089285714,0.285714286,0.0367701077074344,0.426328313175716,0.232142857
"Hrcek","GI","GI7",0.258373206,0.21846703447877,0.306220096,0,0.4784689,0.0891887933486676,0.845548336303764,0
"Hrcek","GI","GI9",0.14592274675,0.155140963531334,0.077253219,0.051502146,0.377682403,0.077570481765667,1.06317189736791,0.377682403
"Hrcek","KA","KA1",0.173027989833333,0.107377929011837,0.1297709925,0.061068702,0.335877863,0.0438368559526325,0.620581266159695,0.335877863
"Hrcek","KA","KA10",0.1842931938,0.0635214696494658,0.188481675,0.104712042,0.272251309,0.0284076648333791,0.344676156181877,0.146596859
"Hrcek","KA","KA13",0.20091324175,0.108569585865346,0.1735159815,0.109589041,0.347031963,0.054284792932673,0.540380439435849,0.219178082
"Hrcek","KA","KA2",0.0982456143333333,0.060530129556735,0.0842105265,0.021052632,0.168421053,0.0247113219130932,0.616110245403575,0.063157895
"Hrcek","KA","KA3",0.0945454546,0.0566269509134305,0.072727273,0.036363636,0.163636364,0.0253243423201949,0.598938903546512,0.163636364
