                            95%-CI
YE_Colinet 0.4219 [0.3902; 0.4536]
YE_Hoedjes 0.4172 [0.3888; 0.4456]
YE_Colinet 0.4809 [0.4492; 0.5126]
YE_Hoedjes 0.4302 [0.4032; 0.4571]
YE_Onder   0.4382 [0.4082; 0.4681]
YE_Colinet 0.4539 [0.4222; 0.4856]
YE_Hoedjes 0.4292 [0.4036; 0.4547]
YE_Colinet 0.4769 [0.4452; 0.5086]
YE_Hoedjes 0.4532 [0.4262; 0.4801]
YE_Onder   0.4082 [0.3782; 0.4381]
YE_Colinet 0.4499 [0.4182; 0.4816]
YE_Hoedjes 0.4172 [0.3902; 0.4441]
YE_Onder   0.3992 [0.3692; 0.4291]
YE_Colinet 0.4669 [0.4352; 0.4986]
YE_Hoedjes 0.4742 [0.4458; 0.5026]
YE_Onder   0.4032 [0.3732; 0.4331]
YE_Colinet 0.5349 [0.5032; 0.5666]
YE_Hoedjes 0.4652 [0.4396; 0.4907]
YE_Onder   0.4452 [0.4152; 0.4751]
YE_Colinet 0.4799 [0.4482; 0.5116]
YE_Hoedjes 0.4382 [0.4112; 0.4651]
YE_Onder   0.3942 [0.3642; 0.4241]
YE_Colinet 0.5269 [0.4952; 0.5586]
YE_Hoedjes 0.4012 [0.3742; 0.4281]
YE_Onder   0.4422 [0.4122; 0.4721]
YE_Colinet 0.5079 [0.4762; 0.5396]
YE_Hoedjes 0.4492 [0.4208; 0.4776]
YE_Onder   0.4212 [0.3912; 0.4511]
YE_Colinet 0.4519 [0.4202; 0.4836]
YE_Hoedjes 0.4622 [0.4352; 0.4891]
YE_Onder   0.4022 [0.3722; 0.4321]
YE_Colinet 0.4919 [0.4602; 0.5236]
YE_Hoedjes 0.4782 [0.4512; 0.5051]
YE_Onder   0.4592 [0.4292; 0.4891]
YE_Colinet 0.5489 [0.5158; 0.5820]
YE_Hoedjes 0.5112 [0.4842; 0.5381]
YE_Onder   0.4562 [0.4262; 0.4861]
YE_Colinet 0.4649 [0.4318; 0.4980]
YE_Hoedjes 0.4072 [0.3802; 0.4341]
YE_Onder   0.4202 [0.3902; 0.4501]
YE_Colinet 0.4629 [0.4298; 0.4960]
YE_Hoedjes 0.4302 [0.4018; 0.4586]
YE_Onder   0.4212 [0.3912; 0.4511]
YE_Colinet 0.4219 [0.3888; 0.4550]
YE_Hoedjes 0.4062 [0.3792; 0.4331]
YE_Onder   0.3922 [0.3622; 0.4221]
