                            95%-CI
YE_Abbott  0.3837 [0.3351; 0.4323]
YE_Gibert  0.6105 [0.5254; 0.6956]
YE_Schmidt 0.5286 [0.3566; 0.7006]
YE_Abbott  0.4047 [0.3561; 0.4533]
YE_Gibert  0.5515 [0.4823; 0.6207]
YE_Schmidt 0.8276 [0.6723; 0.9830]
YE_Abbott  0.3207 [0.2721; 0.3693]
YE_Gibert  0.5395 [0.4703; 0.6087]
YE_Schmidt 0.2516 [0.0963; 0.4070]
YE_Abbott  0.4037 [0.3551; 0.4523]
YE_Gibert  0.5745 [0.5053; 0.6437]
YE_Schmidt 0.6396 [0.4843; 0.7950]
YE_Abbott  0.3967 [0.3481; 0.4453]
YE_Gibert  0.6725 [0.6033; 0.7417]
YE_Schmidt 0.7166 [0.5446; 0.8886]
YE_Abbott  0.3777 [0.3274; 0.4279]
YE_Gibert  0.5615 [0.4764; 0.6466]
YE_Schmidt 0.9966 [0.8413; 1.1520]
YE_Abbott  0.5347 [0.4861; 0.5833]
YE_Gibert  0.6905 [0.6161; 0.7649]
YE_Schmidt 0.9816 [0.8263; 1.1370]
YE_Abbott  0.4847 [0.4361; 0.5333]
YE_Gibert  0.7015 [0.6323; 0.7707]
YE_Schmidt 0.9956 [0.8403; 1.1510]
YE_Abbott  0.5037 [0.4551; 0.5523]
YE_Gibert  0.6885 [0.6193; 0.7577]
YE_Schmidt 0.8616 [0.7063; 1.0170]
YE_Abbott  0.3867 [0.3397; 0.4336]
YE_Gibert  0.5715 [0.5023; 0.6407]
YE_Schmidt 0.9446 [0.7788; 1.1104]
YE_Abbott  0.3697 [0.3194; 0.4199]
YE_Gibert  0.6135 [0.5426; 0.6844]
YE_Schmidt 0.7946 [0.6226; 0.9666]
YE_Abbott  0.4117 [0.3631; 0.4603]
YE_Gibert  0.6125 [0.5433; 0.6817]
YE_Schmidt 0.6976 [0.5423; 0.8530]
YE_Abbott  0.3817 [0.3331; 0.4303]
YE_Gibert  0.5915 [0.5223; 0.6607]
YE_Schmidt 0.5516 [0.3963; 0.7070]
YE_Abbott  0.3857 [0.3371; 0.4343]
YE_Gibert  0.6025 [0.5333; 0.6717]
YE_Schmidt 1.0416 [0.8758; 1.2074]
YE_Abbott  0.4047 [0.3544; 0.4549]
YE_Gibert  0.4795 [0.4103; 0.5487]
YE_Schmidt 0.3546 [0.1993; 0.5100]
YE_Abbott  0.4927 [0.4424; 0.5429]
YE_Gibert  0.6375 [0.5683; 0.7067]
YE_Schmidt 0.9306 [0.7753; 1.0860]
YE_Abbott  0.4267 [0.3781; 0.4753]
YE_Gibert  0.6735 [0.6176; 0.7294]
YE_Schmidt 0.7376 [0.5823; 0.8930]
YE_Abbott  0.3957 [0.3454; 0.4459]
YE_Gibert  0.5265 [0.4573; 0.5957]
YE_Schmidt 0.4836 [0.3116; 0.6556]
YE_Abbott  0.3927 [0.3441; 0.4413]
YE_Gibert  0.5225 [0.4533; 0.5917]
YE_Schmidt 0.5916 [0.4363; 0.7470]
YE_Abbott  0.4567 [0.4081; 0.5053]
YE_Gibert  0.7275 [0.6583; 0.7967]
YE_Schmidt 1.0666 [0.9113; 1.2220]
RE_Abbott  0.4914 [0.4427; 0.5401]
RE_Gibert  0.5885 [0.5176; 0.6595]
RE_Abbott  0.4124 [0.3621; 0.4627]
RE_Gibert  0.5405 [0.4696; 0.6115]
RE_Schmidt 0.4960 [0.3263; 0.6657]
RE_Abbott  0.4584 [0.4097; 0.5071]
RE_Gibert  0.5705 [0.4996; 0.6415]
RE_Schmidt 1.3290 [1.1593; 1.4987]
RE_Abbott  0.4674 [0.4171; 0.5177]
RE_Gibert  0.5825 [0.5116; 0.6535]
RE_Schmidt 1.0360 [0.8663; 1.2057]
RE_Abbott  0.4104 [0.3601; 0.4607]
RE_Gibert  0.5725 [0.5016; 0.6435]
RE_Schmidt 1.0560 [0.8709; 1.2411]
RE_Abbott  0.3824 [0.3305; 0.4343]
RE_Gibert  0.5285 [0.4576; 0.5995]
RE_Schmidt 0.5190 [0.3493; 0.6887]
RE_Abbott  0.4714 [0.4227; 0.5201]
RE_Gibert  0.5565 [0.4856; 0.6275]
RE_Schmidt 0.9060 [0.7363; 1.0757]
RE_Abbott  0.4554 [0.4051; 0.5057]
RE_Gibert  0.5955 [0.5246; 0.6665]
RE_Schmidt 0.6900 [0.5107; 0.8693]
RE_Abbott  0.4474 [0.3971; 0.4977]
RE_Gibert  0.5955 [0.5246; 0.6665]
RE_Schmidt 1.0740 [0.9043; 1.2437]
RE_Abbott  0.5314 [0.4827; 0.5801]
RE_Gibert  0.6525 [0.5816; 0.7235]
RE_Schmidt 1.2270 [1.0573; 1.3967]
RE_Abbott  0.3134 [0.2582; 0.3686]
RE_Gibert  0.4535 [0.3826; 0.5245]
RE_Schmidt 0.5310 [0.3386; 0.7234]
RE_Abbott  0.4174 [0.3671; 0.4677]
RE_Gibert  0.5675 [0.4966; 0.6385]
RE_Schmidt 0.6240 [0.4543; 0.7937]
RE_Abbott  0.3994 [0.3475; 0.4513]
RE_Gibert  0.6375 [0.5666; 0.7085]
RE_Schmidt 0.5540 [0.3524; 0.7556]
RE_Abbott  0.4034 [0.3531; 0.4537]
RE_Gibert  0.5795 [0.5086; 0.6505]
RE_Schmidt 0.9210 [0.7513; 1.0907]
RE_Abbott  0.4874 [0.4355; 0.5393]
RE_Gibert  0.6405 [0.5825; 0.6986]
RE_Schmidt 0.9670 [0.7973; 1.1367]
RE_Abbott  0.4334 [0.3831; 0.4837]
RE_Gibert  0.6745 [0.6036; 0.7455]
GI_Abbott  0.3778 [0.3263; 0.4293]
GI_Gibert  0.5162 [0.4447; 0.5877]
GI_Schmidt 0.4677 [0.2947; 0.6407]
GI_Abbott  0.4158 [0.3659; 0.4657]
GI_Gibert  0.5942 [0.5354; 0.6530]
GI_Schmidt 0.2597 [0.0867; 0.4327]
GI_Abbott  0.4098 [0.3583; 0.4613]
GI_Gibert  0.6172 [0.5457; 0.6887]
GI_Schmidt 0.4757 [0.3027; 0.6487]
GI_Abbott  0.3948 [0.3418; 0.4478]
GI_Gibert  0.5122 [0.4407; 0.5837]
GI_Schmidt 0.7397 [0.5667; 0.9127]
GI_Gibert  0.5842 [0.5127; 0.6557]
GI_Schmidt 0.5367 [0.3637; 0.7097]
GI_Abbott  0.3418 [0.2903; 0.3933]
GI_Gibert  0.5342 [0.4627; 0.6057]
GI_Schmidt 0.4947 [0.3217; 0.6677]
GI_Abbott  0.4328 [0.3813; 0.4843]
GI_Gibert  0.5532 [0.4817; 0.6247]
GI_Schmidt 1.1867 [1.0137; 1.3597]
GI_Abbott  0.4268 [0.3769; 0.4767]
GI_Gibert  0.5942 [0.5227; 0.6657]
GI_Schmidt 0.8227 [0.6497; 0.9957]
GI_Abbott  0.3088 [0.2573; 0.3603]
GI_Gibert  0.5262 [0.4547; 0.5977]
GI_Schmidt 0.5787 [0.3834; 0.7741]
GI_Abbott  0.3858 [0.3295; 0.4421]
GI_Gibert  0.4902 [0.4187; 0.5617]
GI_Abbott  0.4588 [0.4073; 0.5103]
GI_Gibert  0.5692 [0.4977; 0.6407]
GI_Schmidt 1.0437 [0.8707; 1.2167]
GI_Abbott  0.4658 [0.4143; 0.5173]
GI_Gibert  0.6962 [0.6247; 0.7677]
GI_Abbott  0.4608 [0.4093; 0.5123]
GI_Gibert  0.5582 [0.4867; 0.6297]
GI_Schmidt 0.7187 [0.5363; 0.9012]
GI_Abbott  0.3438 [0.2923; 0.3953]
GI_Gibert  0.5262 [0.4547; 0.5977]
GI_Schmidt 0.7527 [0.5797; 0.9257]
GI_Abbott  0.3898 [0.3383; 0.4413]
GI_Gibert  0.5922 [0.5207; 0.6637]
GI_Schmidt 0.7437 [0.5484; 0.9391]
MU_Abbott  0.4626 [0.4128; 0.5123]
MU_Gibert  0.7620 [0.6930; 0.8310]
MU_Schmidt 0.9796 [0.8245; 1.1347]
MU_Abbott  0.4096 [0.3582; 0.4610]
MU_Gibert  0.5620 [0.4930; 0.6310]
MU_Schmidt 0.8876 [0.7325; 1.0427]
MU_Abbott  0.3826 [0.3328; 0.4323]
MU_Gibert  0.5630 [0.4940; 0.6320]
MU_Schmidt 0.7086 [0.5535; 0.8637]
MU_Abbott  0.3926 [0.3428; 0.4423]
MU_Gibert  0.6260 [0.5570; 0.6950]
MU_Schmidt 0.8346 [0.6795; 0.9897]
MU_Abbott  0.4596 [0.4098; 0.5093]
MU_Gibert  0.6120 [0.5430; 0.6810]
MU_Schmidt 0.5046 [0.3495; 0.6597]
MU_Abbott  0.4556 [0.4058; 0.5053]
MU_Gibert  0.6700 [0.6010; 0.7390]
MU_Schmidt 1.0896 [0.9345; 1.2447]
MU_Gibert  0.6330 [0.5640; 0.7020]
MU_Schmidt 0.6296 [0.4745; 0.7847]
MU_Abbott  0.3656 [0.3158; 0.4153]
MU_Gibert  0.6080 [0.5390; 0.6770]
MU_Schmidt 0.7066 [0.5515; 0.8617]
MU_Abbott  0.4476 [0.3978; 0.4973]
MU_Gibert  0.6030 [0.5340; 0.6720]
MU_Schmidt 0.7276 [0.5725; 0.8827]
MU_Abbott  0.4566 [0.4084; 0.5047]
MU_Gibert  0.6990 [0.6282; 0.7697]
MU_Schmidt 0.7846 [0.6295; 0.9397]
MU_Abbott  0.4016 [0.3518; 0.4513]
MU_Gibert  0.5700 [0.5143; 0.6257]
MU_Schmidt 0.4996 [0.3445; 0.6547]
MU_Abbott  0.5026 [0.4528; 0.5523]
MU_Gibert  0.6390 [0.5700; 0.7080]
MU_Schmidt 0.6626 [0.4908; 0.8344]
MU_Abbott  0.4406 [0.3908; 0.4903]
MU_Gibert  0.6630 [0.5940; 0.7320]
MU_Schmidt 0.9376 [0.7825; 1.0927]
MU_Abbott  0.3496 [0.3014; 0.3977]
MU_Gibert  0.5140 [0.4450; 0.5830]
MU_Schmidt 0.6776 [0.5225; 0.8327]
MU_Gibert  0.6520 [0.5830; 0.7210]
MU_Schmidt 0.6976 [0.5425; 0.8527]
MU_Abbott  0.4506 [0.4008; 0.5003]
MU_Gibert  0.6140 [0.5450; 0.6830]
MU_Schmidt 0.7176 [0.5625; 0.8727]
MU_Abbott  0.4686 [0.4204; 0.5167]
MU_Gibert  0.6720 [0.6030; 0.7410]
MU_Schmidt 1.0276 [0.8725; 1.1827]
MU_Gibert  0.6060 [0.5370; 0.6750]
MU_Schmidt 0.6896 [0.5345; 0.8447]
MU_Abbott  0.3546 [0.3048; 0.4043]
MU_Gibert  0.6050 [0.5360; 0.6740]
MU_Schmidt 0.7086 [0.5535; 0.8637]
MU_Abbott  0.3826 [0.3328; 0.4323]
MU_Gibert  0.6070 [0.5380; 0.6760]
MU_Schmidt 1.0986 [0.9435; 1.2537]
MA_Abbott  0.5384 [0.4891; 0.5878]
MA_Schmidt 0.8951 [0.7380; 1.0522]
MA_Abbott  0.5064 [0.4587; 0.5542]
MA_Gibert  0.7586 [0.6892; 0.8281]
MA_Schmidt 0.8411 [0.6840; 0.9982]
MA_Gibert  0.7026 [0.6332; 0.7721]
MA_Abbott  0.4714 [0.4237; 0.5192]
MA_Gibert  0.5466 [0.4772; 0.6161]
MA_Schmidt 0.9811 [0.8240; 1.1382]
MA_Abbott  0.5134 [0.4624; 0.5644]
MA_Gibert  0.6266 [0.5572; 0.6961]
MA_Schmidt 0.7911 [0.6340; 0.9482]
MA_Abbott  0.5454 [0.4944; 0.5964]
MA_Gibert  0.6486 [0.5792; 0.7181]
MA_Schmidt 0.8281 [0.6710; 0.9852]
MA_Abbott  0.5514 [0.5037; 0.5992]
MA_Gibert  0.5676 [0.4982; 0.6371]
MA_Schmidt 0.8711 [0.7140; 1.0282]
MA_Abbott  0.4964 [0.4487; 0.5442]
MA_Gibert  0.5846 [0.5152; 0.6541]
MA_Schmidt 0.8181 [0.6610; 0.9752]
MA_Abbott  0.4964 [0.4454; 0.5474]
MA_Gibert  0.6366 [0.5672; 0.7061]
MA_Schmidt 0.6541 [0.4970; 0.8112]
MA_Abbott  0.5564 [0.5087; 0.6042]
MA_Gibert  0.7006 [0.6312; 0.7701]
MA_Schmidt 0.9731 [0.7671; 1.1790]
MA_Abbott  0.4284 [0.3774; 0.4794]
MA_Gibert  0.5786 [0.5092; 0.6481]
MA_Schmidt 0.3971 [0.2400; 0.5542]
MA_Gibert  0.7896 [0.7202; 0.8591]
MA_Schmidt 1.2981 [1.1410; 1.4552]
MA_Abbott  0.4834 [0.4324; 0.5344]
MA_Gibert  0.6576 [0.6014; 0.7139]
MA_Schmidt 0.9651 [0.8036; 1.1265]
MA_Abbott  0.4164 [0.3654; 0.4674]
MA_Gibert  0.7136 [0.6319; 0.7954]
MA_Schmidt 0.3721 [0.2150; 0.5292]
MA_Abbott  0.4964 [0.4487; 0.5442]
MA_Gibert  0.6616 [0.5922; 0.7311]
MA_Schmidt 1.2181 [1.0610; 1.3752]
MA_Abbott  0.5004 [0.4494; 0.5514]
MA_Gibert  0.6176 [0.5482; 0.6871]
MA_Schmidt 0.6931 [0.5360; 0.8502]
MA_Abbott  0.5664 [0.5154; 0.6174]
MA_Gibert  0.6096 [0.5402; 0.6791]
MA_Schmidt 0.9101 [0.7530; 1.0672]
MA_Abbott  0.5214 [0.4704; 0.5724]
MA_Gibert  0.5846 [0.5152; 0.6541]
MA_Schmidt 0.7991 [0.6420; 0.9562]
MA_Abbott  0.4554 [0.4077; 0.5032]
MA_Gibert  0.5916 [0.5222; 0.6611]
MA_Schmidt 0.8821 [0.7250; 1.0392]
MA_Abbott  0.4994 [0.4484; 0.5504]
MA_Gibert  0.6326 [0.5632; 0.7021]
MA_Schmidt 0.8881 [0.7310; 1.0452]
UM_Abbott  0.4433 [0.3940; 0.4926]
UM_Gibert  0.5900 [0.5202; 0.6599]
UM_Schmidt 0.9659 [0.7996; 1.1322]
