"Lab","Diet","Sex","Population","Line","Replicate","Observation_count","Batch_count","Batch_ids"
"Hrcek","NS",NA,"AK","AK1","Hrcek_1_AK1_10",1,1,"1"
"Hrcek","NS",NA,"AK","AK1","Hrcek_1_AK1_6",1,1,"1"
"Hrcek","NS",NA,"AK","AK1","Hrcek_1_AK1_7",1,1,"1"
"Hrcek","NS",NA,"AK","AK1","Hrcek_1_AK1_8",1,1,"1"
"Hrcek","NS",NA,"AK","AK1","Hrcek_1_AK1_9",1,1,"1"
"Hrcek","NS",NA,"AK","AK11","Hrcek_4_AK11_10",1,1,"4"
"Hrcek","NS",NA,"AK","AK11","Hrcek_4_AK11_5",1,1,"4"
"Hrcek","NS",NA,"AK","AK11","Hrcek_4_AK11_6",1,1,"4"
"Hrcek","NS",NA,"AK","AK11","Hrcek_4_AK11_7",1,1,"4"
"Hrcek","NS",NA,"AK","AK11","Hrcek_4_AK11_9",1,1,"4"
"Hrcek","NS",NA,"AK","AK3","Hrcek_3_AK3_10",1,1,"3"
"Hrcek","NS",NA,"AK","AK3","Hrcek_3_AK3_5",1,1,"3"
"Hrcek","NS",NA,"AK","AK3","Hrcek_3_AK3_6",1,1,"3"
"Hrcek","NS",NA,"AK","AK3","Hrcek_3_AK3_7",1,1,"3"
"Hrcek","NS",NA,"AK","AK3","Hrcek_3_AK3_8",1,1,"3"
"Hrcek","NS",NA,"AK","AK3","Hrcek_3_AK3_9",1,1,"3"
"Hrcek","NS",NA,"AK","AK4","Hrcek_3_AK4_10",1,1,"3"
"Hrcek","NS",NA,"AK","AK4","Hrcek_3_AK4_5",1,1,"3"
"Hrcek","NS",NA,"AK","AK4","Hrcek_3_AK4_6",1,1,"3"
"Hrcek","NS",NA,"AK","AK4","Hrcek_3_AK4_7",1,1,"3"
"Hrcek","NS",NA,"AK","AK4","Hrcek_3_AK4_8",1,1,"3"
"Hrcek","NS",NA,"AK","AK4","Hrcek_3_AK4_9",1,1,"3"
"Hrcek","NS",NA,"AK","AK5","Hrcek_3_AK5_5",1,1,"3"
"Hrcek","NS",NA,"AK","AK5","Hrcek_3_AK5_6",1,1,"3"
"Hrcek","NS",NA,"AK","AK5","Hrcek_3_AK5_7",1,1,"3"
"Hrcek","NS",NA,"AK","AK5","Hrcek_3_AK5_8",1,1,"3"
"Hrcek","NS",NA,"AK","AK6","Hrcek_1_AK6_5",1,1,"1"
"Hrcek","NS",NA,"AK","AK6","Hrcek_1_AK6_6",1,1,"1"
"Hrcek","NS",NA,"AK","AK6","Hrcek_1_AK6_8",1,1,"1"
"Hrcek","NS",NA,"AK","AK9","Hrcek_4_AK9_5",1,1,"4"
"Hrcek","NS",NA,"AK","AK9","Hrcek_4_AK9_6",1,1,"4"
"Hrcek","NS",NA,"AK","AK9","Hrcek_4_AK9_7",1,1,"4"
"Hrcek","NS",NA,"AK","AK9","Hrcek_4_AK9_8",1,1,"4"
"Hrcek","NS",NA,"AK","AK9","Hrcek_4_AK9_9",1,1,"4"
"Hrcek","NS",NA,"GI","GI10","Hrcek_4_GI10_10",1,1,"4"
"Hrcek","NS",NA,"GI","GI10","Hrcek_4_GI10_5",1,1,"4"
"Hrcek","NS",NA,"GI","GI10","Hrcek_4_GI10_6",1,1,"4"
"Hrcek","NS",NA,"GI","GI10","Hrcek_4_GI10_7",1,1,"4"
"Hrcek","NS",NA,"GI","GI10","Hrcek_4_GI10_8",1,1,"4"
"Hrcek","NS",NA,"GI","GI10","Hrcek_4_GI10_9",1,1,"4"
"Hrcek","NS",NA,"GI","GI11","Hrcek_3_GI11_5",1,1,"3"
"Hrcek","NS",NA,"GI","GI11","Hrcek_3_GI11_6",1,1,"3"
"Hrcek","NS",NA,"GI","GI11","Hrcek_3_GI11_7",1,1,"3"
"Hrcek","NS",NA,"GI","GI11","Hrcek_3_GI11_8",1,1,"3"
